rating_id,user_id,movie_id,rating,review_date
R10001,15004,1137,4,2024-11-01
R10002,15017,1208,4,2024-11-01
R10003,15000,1433,4,2024-11-01
R10004,15021,2701,4,2024-11-01
R10005,15035,3710,4,2024-11-02
R10006,15001,1125,5,2024-11-02
R10007,15002,269,4,2024-11-02
R10008,15021,2754,4,2024-11-02
R10009,15004,2289,5,2024-11-02
R10010,15019,431,4,2024-11-02
R10011,15002,2722,3,2024-11-02
R10012,15021,2472,1,2024-11-02
R10013,15020,1661,3,2024-11-03
R10014,15049,3218,4,2024-11-03
R10015,15044,2691,3,2024-11-03
R10016,15022,4174,4,2024-11-03
R10017,15056,1595,4,2024-11-03
R10018,15054,3742,4,2024-11-03
R10019,15023,1976,4,2024-11-03
R10020,15007,2308,4,2024-11-03
R10021,15020,109,5,2024-11-03
R10022,15035,2841,5,2024-11-03
R10023,15020,3001,4,2024-11-04
R10025,15022,3741,4,2024-11-04
R10026,15005,980,5,2024-11-04
R10027,15044,1208,5,2024-11-04
R10028,15015,3405,5,2024-11-04
R10029,15083,2051,4,2024-11-04
R10030,15017,1732,5,2024-11-04
R10031,15004,636,4,2024-11-04
R10032,15056,2661,3,2024-11-04
R10033,15039,51,5,2024-11-04
R10034,15015,1175,2,2024-11-04
R10035,15002,2817,4,2024-11-04
R10036,15000,3787,5,2024-11-04
R10037,15002,1314,4,2024-11-04
R10038,15063,3150,5,2024-11-04
R10039,15059,2421,2,2024-11-05
R10040,15040,1698,5,2024-11-05
R10041,15054,3904,5,2024-11-05
R10042,15021,3000,2,2024-11-05
R10043,15024,1834,5,2024-11-05
R10044,15077,296,2,2024-11-05
R10046,15030,4177,2,2024-11-05
R10047,15061,4094,4,2024-11-05
R10048,15007,4049,4,2024-11-05
R10049,15000,331,4,2024-11-05
R10050,15110,3439,4,2024-11-06
R10051,15002,3681,5,2024-11-06
R10052,15095,447,4,2024-11-06
R10053,15035,3283,5,2024-11-06
R10054,15007,1529,4,2024-11-06
R10055,15004,194,4,2024-11-06
R10056,15052,45,5,2024-11-06
R10057,15049,472,4,2024-11-06
R10058,15085,673,5,2024-11-06
R10059,15020,2027,4,2024-11-06
R10060,15015,1406,4,2024-11-06
R10061,15056,823,5,2024-11-06
R10062,15077,3816,4,2024-11-07
R10064,15101,3710,5,2024-11-07
R10065,15104,1510,5,2024-11-07
R10066,15030,2669,4,2024-11-07
R10067,15061,1710,4,2024-11-07
R10068,15073,3742,4,2024-11-07
R10069,15103,1369,4,2024-11-07
R10070,15119,488,4,2024-11-07
R10071,15130,2723,3,2024-11-07
R10072,15072,1359,3,2024-11-07
R10073,15040,4025,4,2024-11-07
R10074,15020,3673,4,2024-11-07
R10075,15015,2720,3,2024-11-07
R10076,15119,488,4,2024-11-07
R10077,15023,1627,3,2024-11-07
R10078,15073,1170,5,2024-11-07
R10079,15021,1991,4,2024-11-07
R10080,15112,3155,3,2024-11-07
R10081,15023,4105,4,2024-11-08
R10082,15004,447,4,2024-11-08
R10083,15107,516,4,2024-11-08
R10084,15030,3783,4,2024-11-08
R10085,15078,1388,2,2024-11-08
R10086,15095,1150,4,2024-11-08
R10087,15030,1479,4,2024-11-08
R10089,15134,446,5,2024-11-08
R10090,15076,2855,5,2024-11-08
R10091,15004,3533,5,2024-11-08
R10093,15139,210,4,2024-11-08
R10094,15000,1684,4,2024-11-08
R10095,15082,790,4,2024-11-08
R10096,15128,1727,5,2024-11-08
R10097,15099,1513,4,2024-11-08
R10098,15004,4105,4,2024-11-08
R10099,15024,2912,5,2024-11-08
R10100,15107,3540,4,2024-11-08
R10101,15085,3579,5,2024-11-08
R10102,15110,1302,4,2024-11-08
R10103,15022,2952,4,2024-11-08
R10104,15126,982,4,2024-11-08
R10105,15112,3871,5,2024-11-08
R10107,15124,1229,3,2024-11-08
R10108,15094,3288,4,2024-11-08
R10109,15040,1303,3,2024-11-09
R10110,15167,378,5,2024-11-09
R10111,15063,3932,4,2024-11-09
R10112,15059,2418,5,2024-11-09
R10113,15099,488,4,2024-11-09
R10114,15083,1433,4,2024-11-09
R10115,15021,1665,2,2024-11-09
R10116,15021,4204,4,2024-11-09
R10117,15030,2912,1,2024-11-09
R10118,15166,3172,4,2024-11-09
R10119,15115,636,4,2024-11-09
R10120,15112,1347,4,2024-11-09
R10121,15124,1294,2,2024-11-09
R10122,15059,51,2,2024-11-09
R10123,15115,3224,4,2024-11-09
R10124,15022,1011,5,2024-11-09
R10125,15076,1597,4,2024-11-09
R10127,15021,2103,2,2024-11-09
R10128,15103,1084,4,2024-11-09
R10129,15063,552,4,2024-11-09
R10130,15145,3056,5,2024-11-09
R10131,15052,2946,4,2024-11-09
R10132,15015,2825,4,2024-11-09
R10133,15049,2268,5,2024-11-09
R10134,15130,187,5,2024-11-09
R10135,15049,3169,4,2024-11-09
R10136,15072,1612,4,2024-11-09
R10137,15021,2343,5,2024-11-09
R10138,15054,2223,4,2024-11-09
R10139,15107,3751,5,2024-11-09
R10140,15141,3506,4,2024-11-09
R10141,15079,1767,5,2024-11-09
R10142,15104,4214,4,2024-11-09
R10143,15030,650,5,2024-11-09
R10144,15020,3265,4,2024-11-09
R10145,15020,1698,4,2024-11-09
R10146,15154,4025,4,2024-11-09
R10147,15098,2407,4,2024-11-09
R10148,15081,2855,4,2024-11-09
